Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,,,,,,,,,,,,,,
53.19084835,6,0,12:56:52,12:57:46,,,,,,,,,,,,,,,
126.0202532,7,1,13:16:26,13:18:32,https://www.youtube.com/watch?v=gxqGLscGrQA,,,,,,,,,,,,,,
84.73141146,5,2,15:29:40,15:31:05,"oTwT1MYXJgg, BIBjhtruESY",,,,,,,,,,,,,,
86.39857078,1,1,17:05:53,17:07:20,O1mwGRNd2A8,,,,,,,,,,,,,,
186.2416716,10,9,18:04:18,18:07:24,"i3K9T6-NWt8, enMnSVOBAeE, _T0OzsI2oZU, 4wApMHdAf88, don2c-2HYVU, eVbfRcfH6es, SydgQL6z-NQ, s7mNQcnCnKw, Y0HHiHwWD68",,,,,,,,,,,,,,
65.82634878,11,0,18:12:57,18:14:03,,,,,,,,,,,,,,,
192.6314406,16,7,18:37:18,18:40:31,"4cxvYk957vs, Kw6MClalQLY, OrR_qVytQ74, GVLXltawVU8, d_hLSZuj8zQ, 9226llSqO_c, EVLjth4lJXY",,,,,,,,,,,,,,
189.0782707,20,6,18:59:00,19:02:09,"TkPuf--ZZSc, yBrdp0x6bxM, A7k0vVogPbE, IwjP7QprJzE, feq54qpYHgc, 6N1vwtIymXE",,,,,,,,,,,,,,
172.4751227,23,3,19:35:14,19:38:07,"3J0wW-8ZeBw, zDNZR47kq0E, RBss0DloZXU",,,,,,,,,,,,,,
166.618742,15,4,20:49:21,20:52:07,"cJVjD5Voh9k, 949DoGtUxOA, 2eP8AoXnQ54, Mq3CzgjH-Tk",,,,,,,,,,,,,,
130.9069786,12,4,21:17:13,21:19:24,"0vPy9nkf8l4, y1facbQwlZY, hItkYrKZ2cY, hmCbfU8G8Fc",,,,,,,,,,,,,,
126.8512831,11,4,22:19:37,22:21:44,"_KYZRtOP1Fs, T8ZOQimDN0w, 0sv-I182iqM, RAg4U6giBSE",,,,,,,,,,,,,,
139.5497718,11,4,23:30:55,23:33:14,"YRFDV2lDVaE, 97V_xa6SShc, 9fcY24KRvxg, XKUWonlhcns",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
