Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked
136.42026543617249,4,4,09:42:58,09:45:14,"E5D7IcJQjC8, p5xOkRfDwI8, YRKZnRale5g, MAAijdM5AFw"
100.2200939655304,4,1,10:50:23,10:52:03,3mdTVdwVg7Q
87.08674502372742,2,1,12:27:32,12:28:59,C3Eto24LFxo
96.72406721115112,2,1,15:11:37,15:13:14,Lg8nTG2NHio
68.58450293540955,2,0,15:20:54,15:22:03,
46.32084846496582,2,0,15:55:02,15:55:48,
136.11052465438843,5,3,17:08:35,17:10:51,"dZHsh1GfIMk, 1E8uHA5r3uE, Jvp7TDTDRRY"
96.80051350593567,5,2,18:02:18,18:03:54,"3QTrXUDp2-8, tPZfjIoRnxc"
114.24742317199707,6,5,19:10:14,19:12:08,"i3iXG91P3Dg, Rjk66XMMwOw, omsA10SxWFI, EZOTPe4QcJc, fZnVHbyuhlg"
97.68273401260376,7,2,19:32:49,19:34:26,"rheFvXGs5ac, pX32fBqIXdo"
211.23267269134521,12,10,21:09:59,21:13:30,"Nfa-onldSpY, N0sdrfFUv80, JnU00OYE3A4, Qi1H7xL-xVo, huhW3wLOFsA, MSE8ulZTUeA, w-XHG93TPNc, NG-Y-YwnZYM, jjsNsicS3TA, 1uxZK0jKyO4"
162.62867546081543,15,3,21:30:18,21:33:01,"VLVtogssPwY, _uImkR7sQqc, tNLVVGhhEGs"
125.77550387382507,11,5,23:10:54,23:13:00,"YICTdOYB5qM, 7u2XbQ92-gc, paeT7hLuoGk, U0q8bK1mvzQ, xE3-vIrBVNw"
59.66840600967407,5,0,23:42:34,23:43:33,
