Time elapsed,No. of active streams,No. of to-be-liked streams,Time Started,Time Ended,Streams liked,Check streamers time
66.76112699508667,4,2,11:09:36,11:10:42,"sv2NsJaEzDI,g5LH-XPQ_oQ,hZ49p-qhlFs,-Gq_1gI28t4",40.82917833328247
56.667590618133545,4,0,11:25:00,11:25:57,"sv2NsJaEzDI,g5LH-XPQ_oQ,hZ49p-qhlFs,-Gq_1gI28t4",32.15428709983826
101.4587619304657,6,3,12:15:25,12:17:06,"sv2NsJaEzDI,cImK1wF6v6g,hZ49p-qhlFs,eHBu1KPVL4s,vf2sM3O2BWM,-Gq_1gI28t4",72.34219551086426
75.79448366165161,8,5,13:45:40,13:46:56,"ykiQCecfAfM,GfYmvsRLAcE,cImK1wF6v6g,ZOfU-JptNMw,fiye-Q8y6A8,eHBu1KPVL4s,vf2sM3O2BWM,3-Nz4etBNNM",35.18204426765442
84.87417435646057,9,5,16:13:01,16:14:26,"mWHPKXeDR_A,GfYmvsRLAcE,cImK1wF6v6g,ZOfU-JptNMw,tTtcLm4yaoc,vf2sM3O2BWM,x8mHMJZbPM8,Cps1vgP8tGE,M-LIVvUD22Q",44.532829999923706
143.19733810424805,7,0,16:39:09,16:41:33,"mWHPKXeDR_A,GfYmvsRLAcE,cImK1wF6v6g,ZOfU-JptNMw,tTtcLm4yaoc,x8mHMJZbPM8,Cps1vgP8tGE",119.5167772769928
72.53525424003601,9,2,17:02:42,17:03:54,"mWHPKXeDR_A,O9V_EFbgpKQ,GfYmvsRLAcE,9zQtURMGS0k,cImK1wF6v6g,ZOfU-JptNMw,tTtcLm4yaoc,x8mHMJZbPM8,Cps1vgP8tGE",32.12442469596863
59.99767327308655,9,0,17:11:03,17:12:03,"mWHPKXeDR_A,O9V_EFbgpKQ,GfYmvsRLAcE,9zQtURMGS0k,cImK1wF6v6g,ZOfU-JptNMw,tTtcLm4yaoc,x8mHMJZbPM8,Cps1vgP8tGE",31.245378732681274
74.62884020805359,9,2,18:04:34,18:05:49,"mWHPKXeDR_A,GfYmvsRLAcE,9zQtURMGS0k,ZOfU-JptNMw,JRH2wjcVAzo,tTtcLm4yaoc,m61vXp4mkzY,x8mHMJZbPM8,Cps1vgP8tGE",31.68308711051941
56.268155097961426,7,0,18:33:58,18:34:54,"GfYmvsRLAcE,9zQtURMGS0k,ZOfU-JptNMw,JRH2wjcVAzo,m61vXp4mkzY,x8mHMJZbPM8,Cps1vgP8tGE",31.027250051498413
87.06082201004028,5,1,19:19:44,19:21:11,"GfYmvsRLAcE,9zQtURMGS0k,TjhOZn1vNW4,JRH2wjcVAzo,Cps1vgP8tGE",42.13197183609009
65.78445935249329,7,4,20:04:23,20:05:28,"0hsBmf4U-rM,GfYmvsRLAcE,9zQtURMGS0k,zB40MxruXVg,BpKvu5VQpf4,JRH2wjcVAzo,ecTyeelDlds",36.982184171676636
